Empirical Confusion Matrix (N=3863, Acc=98.7057%, MacroF1=99.4670%)

                                                                           Alternador defectuoso o faja suelta  Amortiguadores reventados o bujes de suspension gastados  Averia detectada en sistema P0  Averia detectada en sistema P2  Averia detectada en sistema P3  Averia detectada en sistema U0  Bateria descargada o arrancador defectuoso  Bomba de gasolina / combustible quemada o sin presion  Bombin o cable de embrague desajustado  Bujias desgastadas o bobina de encendido defectuosa  Bujias desgastadas o gasolina de bajo octanaje (preignicion)  Caja o cremallera de direccion asistida con fuga  Consumo de aceite por anillos de piston gastados  Daño o desalineacion en la chapa / mecanismo de seguro de la puerta  Degradacion o falla en paquete de bateria de alto voltaje (EV / Híbridos)  Disco de embrague (clutch) desgastado o patinando  Discos de freno deformados o alabeados  El motor esta consumiendo aceite (anillos de piston gastados)  Elevalunas / levanta vidrios electrico defectuoso  Falla de control electronico Ma  Falla de control electronico P0  Falla de sensores del sistema del vehiculo  Falla en el rele o motor del ventilador del radiador  Falla en el turbocompresor o intercooler (Camiones Diésel)  Falla en sistema de frenado regenerativo (EV / Híbridos)  Fallo en el servo freno (booster)  Fallo en inversor de corriente o motor electrico (EV)  Falta o degradacion de aceite de caja de cambios  Filtro de combustible o inyectores sucios  Filtro de combustible obstruido o inyectores sucios  Foco o falla en sistema de refrigeracion de bateria/inversor (EV)  Fuga de liquido de frenos o aire en cañerias  Fuga de liquido de frenos o aire en el sistema  Fuga en mangueras de refrigerante o radiador picado  Fuga o baja presion en sistema Common Rail Diésel (Camiones/Pickups)  Fugas de aire o fallos en el sistema de frenos neumático (Camiones)  Juntas homocineticas (palieres) dañadas  Limpiaparabrisas / motor pluma quemado  Llantas desalineadas, desbalanceadas o deformadas  Mezcla rica (demasiado combustible / falla de sensor de oxigeno)  Pastillas de freno desgastadas  Sensor de oxigeno defectuoso  Sensor de oxigeno defectuoso o bujias en mal estado  Soplo de empaque de culata  Soplo de empaque de culata (ingreso de refrigerante al motor)  Soportes de motor rotos o inyectores sucios  Valvula IAC sucia u obstruida (control de minimo)  Valvula IAC sucia u obstruida (minimo)
Bujias desgastadas o gasolina de bajo octanaje (preignicion)                                                 0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                            12                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Caja o cremallera de direccion asistida con fuga                                                             0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 7                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Consumo de aceite por anillos de piston gastados                                                             0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 6                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Daño o desalineacion en la chapa / mecanismo de seguro de la puerta                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                   17                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Degradacion o falla en paquete de bateria de alto voltaje (EV / Híbridos)                                    0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          7                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Disco de embrague (clutch) desgastado o patinando                                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  6                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Discos de freno deformados o alabeados                                                                       0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       4                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
El motor esta consumiendo aceite (anillos de piston gastados)                                                0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              5                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Elevalunas / levanta vidrios electrico defectuoso                                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  6                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla de control electronico Ma                                                                              0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                              711                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla de control electronico P0                                                                              0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                              768                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla de sensores del sistema del vehiculo                                                                   0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                        1535                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla en el rele o motor del ventilador del radiador                                                         0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     4                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla en el turbocompresor o intercooler (Camiones Diésel)                                                   0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           6                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falla en sistema de frenado regenerativo (EV / Híbridos)                                                     0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         5                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fallo en el servo freno (booster)                                                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  6                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fallo en inversor de corriente o motor electrico (EV)                                                        0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      7                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Falta o degradacion de aceite de caja de cambios                                                             0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 6                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Filtro de combustible o inyectores sucios                                                                    0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          7                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Filtro de combustible obstruido o inyectores sucios                                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    5                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Foco o falla en sistema de refrigeracion de bateria/inversor (EV)                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  5                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fuga de liquido de frenos o aire en cañerias                                                                 0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             9                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fuga de liquido de frenos o aire en el sistema                                                               0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                              12                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fuga en mangueras de refrigerante o radiador picado                                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    4                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fuga o baja presion en sistema Common Rail Diésel (Camiones/Pickups)                                         0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     6                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Fugas de aire o fallos en el sistema de frenos neumático (Camiones)                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    7                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Juntas homocineticas (palieres) dañadas                                                                      0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                       18                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Limpiaparabrisas / motor pluma quemado                                                                       0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       6                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Llantas desalineadas, desbalanceadas o deformadas                                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                 17                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Mezcla rica (demasiado combustible / falla de sensor de oxigeno)                                             0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 5                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Pastillas de freno desgastadas                                                                               0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                              20                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Sensor de oxigeno defectuoso                                                                                 0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             6                                                    0                           0                                                              0                                            0                                                  0                                       0
Sensor de oxigeno defectuoso o bujias en mal estado                                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    5                           0                                                              0                                            0                                                  0                                       0
Soplo de empaque de culata                                                                                   0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           6                                                              0                                            0                                                  0                                       0
Soplo de empaque de culata (ingreso de refrigerante al motor)                                                0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              5                                            0                                                  0                                       0
Soportes de motor rotos o inyectores sucios                                                                  0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                           12                                                  0                                       0
Valvula IAC sucia u obstruida (control de minimo)                                                            0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  5                                       0
Valvula IAC sucia u obstruida (minimo)                                                                       0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       4
